Work Item ID,Work Type,Summary,Description,Epic Link,Parent ID,Acceptance Criteria,Evidence Link
101,Story,Implement Frontend Standards & Accessibility,"Apply responsive breakpoints (desktop ≥1200px, tablet ≥768px, mobile <768px). Enforce WCAG AA compliance (contrast, ARIA labels, semantic HTML).",MHBR-111,,"Responsive layouts validated across breakpoints; Accessibility checklist completed; Evidence uploaded to Confluence Appendix A & D.","Confluence: Appendix A – Step I Evidence"
102,Story,Build Design System & UI Components,"Create CSS design tokens for palette, typography, spacing. Scaffold reusable components (buttons, forms, cards, modals, navigation).",MHBR-111,,"Tokens applied across components; Navigation + forms reusable; Evidence logged in Appendix B.","Confluence: Appendix B – Step I Technical"
103,Story,Configure Deployment Pipeline,"Establish GitHub branch flow (feature/* → testing → staging → main). Implement CI/CD pipeline for Hostinger with 3 environments.",MHBR-111,,"Branch protections applied; CI/CD validated; Evidence in Appendix B + D.","Confluence: Appendix B – Step I Technical"
104,Story,Develop Core Pages & Navigation,"Scaffold Home, About, Services, Policies, Consultation, Portfolio, Contact, and Admin pages with sticky header, CTA buttons, and hamburger menu.",MHBR-111,,"All pages deployed to staging; Navigation works desktop + mobile; Evidence in Appendix A.","Confluence: Appendix A – Step I Evidence"
105,Sub-task,Scaffold Home & About Pages,"Build initial Home and About page shells.",,104,"Pages load in staging; Linked from nav.","Confluence: Appendix A – Step I Evidence"
106,Sub-task,Scaffold Services & Policies Pages,"Build initial Services and Policies page shells.",,104,"Pages load in staging; Linked from nav.","Confluence: Appendix A – Step I Evidence"
107,Sub-task,Scaffold Consultation & Portfolio Pages,"Build initial Consultation and Portfolio page shells.",,104,"Pages load in staging; Linked from nav.","Confluence: Appendix A – Step I Evidence"
108,Sub-task,Scaffold Contact & Admin Pages,"Build initial Contact and Admin page shells.",,104,"Pages load in staging; Linked from nav.","Confluence: Appendix A – Step I Evidence"
109,Story,Implement Consultation Booking Form,"Build booking form with required fields, client/server validation, and API integration placeholder.",MHBR-111,,"Form validates required fields; Server validation placeholder; Evidence in Appendix A + C.","Confluence: Appendix A – Step I Evidence"
110,Story,Log Deferred Items & Deferrals,"Record deferrals: professional photography, Google Analytics, Google Maps.",MHBR-111,,"Deferrals documented in Appendix E; Notes captured for retro.","Confluence: Appendix E – Step I Change Log"
111,Story,Capture Evidence of Work (Appendix A),"Collect responsive screenshots, booking form demos, and nav/header interactions.",MHBR-111,,"Evidence uploaded; Jira Story linked; PO validation.","Confluence: Appendix A – Step I Evidence"
112,Story,Capture Technical Artifacts (Appendix B),"Collect CSS configs, design tokens, CI/CD YAML files.",MHBR-111,,"Evidence uploaded; Jira Story linked; PO validation.","Confluence: Appendix B – Step I Technical"
113,Story,Capture Business Artifacts (Appendix C),"Collect brand copy, policies, and booking form specifications.",MHBR-111,,"Evidence uploaded; Jira Story linked; PO validation.","Confluence: Appendix C – Step I Business"
114,Story,Capture Ops Artifacts (Appendix D),"Collect deployment runbook, accessibility checklist, smoke tests.",MHBR-111,,"Evidence uploaded; Jira Story linked; PO validation.","Confluence: Appendix D – Step I Ops"
115,Story,Capture Deferrals & Lessons (Appendix E),"Log deferrals (photos, analytics, maps) and retro notes.",MHBR-111,,"Evidence uploaded; Jira Story linked; PO validation.","Confluence: Appendix E – Step I Change Log"
